transaction_id,description,amount,category
TXN598369,salary credit payment #3060,729.12,Financial Services
TXN285186,indigo payment #8749,4047.77,Travel & Transport
TXN465219,tata cliq payment #4389,2653.46,Shopping
TXN526504,playstation store payment #3057,1592.6,Entertainment
TXN346617,nilgiris supermarket payment #4593,3545.16,Groceries
TXN214611,jio fiber payment #4425,3099.06,Utilities
TXN309612,bharatpetrol payment #1869,3384.25,Fuel
TXN779445,ajio payment #1370,4260.98,Shopping
TXN416528,croma payment #3161,4422.52,Shopping
TXN534052,spencer’s retail payment #8885,3497.76,Groceries
TXN822063,ccd cafe payment #5873,2322.37,Food & Dining
TXN468074,cafe coffee day payment #6062,4615.53,Food & Dining
TXN811141,airtel digital tv payment #5904,2868.22,Utilities
TXN561567,hathway broadband payment #7277,1265.94,Utilities
TXN117215,airtel digital tv payment #8361,4836.21,Utilities
TXN714094,notion subscription payment #2052,1776.54,Bills & Subscriptions
TXN357420,atm cash removal payment #5397,1679.29,Financial Services
TXN420349,d mart payment #1848,2042.07,Shopping
TXN754688,playstation store payment #4360,4449.14,Entertainment
TXN870786,hp petrol payment #4063,4816.13,Fuel
TXN108161,freelancer payment payment #2372,846.06,Others
TXN309174,hotstar payment #8911,732.57,Entertainment
TXN676680,airindia payment #3733,3983.06,Travel & Transport
TXN388792,hpcl pump payment #8750,283.58,Fuel
TXN189170,dmart ready payment #1530,1277.64,Groceries
TXN548443,parking charges payment #6858,2395.06,Others
169,apollo pharmacy products,180.5,Health & Fitness
71,hotstar vip,99.99,Entertainment
TXN889743,meesho payment #7270,3889.96,Shopping
TXN177959,h&m india payment #8790,1428.37,Shopping
TXN997940,jiomart grocery payment #7243,661.06,Groceries
258,late fee for loan payment,350.0,Financial Services
TXN350224,jio fiber payment #3267,4908.13,Utilities
TXN907526,dmart ready payment #1716,747.68,Groceries
TXN629050,talwalkars gym payment #1745,126.27,Health & Fitness
TXN219754,pantaloons payment #9369,654.73,Shopping
TXN677086,dominos payment #3252,125.39,Food & Dining
TXN974628,icici atm payment #5554,2321.71,Financial Services
TXN907189,company reimbursement payment #7883,2008.44,Financial Services
TXN813390,zara india payment #4578,3833.11,Shopping
TXN444656,canva pro payment #8270,3722.35,Bills & Subscriptions
TXN390870,apple music payment #4539,2999.74,Bills & Subscriptions
TXN502704,zee5 premium payment #5521,1129.16,Bills & Subscriptions
94,aadhar supermarket groceries,450.0,Groceries
TXN392003,easyday club payment #8003,4801.97,Groceries
TXN405509,abhibus payment #6136,1652.7,Travel & Transport
TXN488984,swiggy payment #3513,3427.4,Food & Dining
TXN586758,bookmyshow payment #1173,2321.72,Entertainment
TXN204158,zee5 subscription payment #5213,546.02,Entertainment
TXN256846,ola payment #6231,2745.66,Travel & Transport
243,refund of failed upi transaction,300.0,Financial Services
TXN578472,xbox live payment #2492,1510.77,Entertainment
TXN822858,googlepay upi payment #1043,2101.74,Financial Services
TXN218661,airtel recharge payment #8917,3553.92,Utilities
TXN972837,transfer payment #9653,2531.26,Others
TXN179574,amazon prime video payment #4830,1401.56,Entertainment
TXN747518,1mg payment #6047,221.5,Health & Fitness
TXN978821,medplus payment #7623,701.53,Health & Fitness
TXN862422,bharatpetrol payment #5225,1666.77,Fuel
TXN500016,canva pro payment #4644,3079.51,Bills & Subscriptions
TXN224573,zee5 premium payment #7619,1300.5,Bills & Subscriptions
TXN144413,zee5 premium payment #9652,3451.98,Bills & Subscriptions
TXN226601,tata cliq payment #8635,1638.76,Shopping
TXN591081,faasos payment #6549,4040.74,Food & Dining
TXN324164,microsoft 365 payment #8010,691.94,Bills & Subscriptions
TXN606109,tata play dth payment #9290,222.18,Utilities
TXN209116,transfer payment #5432,3644.32,Others
TXN857168,googlepay upi payment #8433,115.9,Financial Services
TXN933592,pantaloons payment #8550,924.34,Shopping
TXN849747,icici emi payment payment #7149,2043.61,Financial Services
TXN530250,freelancer payment payment #1339,824.71,Others
TXN835570,nayara energy payment #9393,1564.67,Fuel
TXN106918,tnstc bus service payment #8898,4447.14,Travel & Transport
226,hdfc credit card bill payment,12000.0,Financial Services
TXN128015,bookmyshow payment #9291,318.71,Entertainment
27,tata sky bill,550.0,Utilities
TXN432061,lifestyle payment #3527,3724.31,Shopping
TXN976325,atm withdrawal payment #7389,4281.89,Financial Services
TXN970357,atm withdrawal payment #5837,207.5,Financial Services
33,iocl fuel,35.5,Fuel
TXN571635,croma payment #6411,3268.86,Shopping
TXN701334,haldirams payment #5480,1510.17,Food & Dining
TXN917392,ioc fuel station payment #3443,4752.29,Fuel
52,fitbit premium,14.99,Health & Fitness
TXN614084,ccd cafe payment #7984,3461.88,Food & Dining
