transaction_id,description,amount,category
TXN876226,badal restaurant payment #1512,1548.34,Food & Dining
TXN812126,veer restaurant payment #3291,965.51,Food & Dining
TXN122716,advika cafe payment #5542,117.38,Food & Dining
TXN230857,sana biryani payment #2114,689.68,Food & Dining
TXN821506,aaina dinner payment #2730,660.59,Food & Dining
TXN663520,ivan breakfast payment #9057,797.42,Food & Dining
TXN199382,zain cafe payment #5579,129.69,Food & Dining
TXN678763,bhamini restaurant payment #6089,1909.87,Food & Dining
TXN647164,uthkarsh breakfast payment #2340,876.82,Food & Dining
TXN256169,stuvan breakfast payment #5479,588.51,Food & Dining
TXN415221,inaaya  breakfast payment #5789,339.56,Food & Dining
TXN690296,uthkarsh breakfast payment #5239,212.66,Food & Dining
TXN220565,divyansh biryani payment #2346,887.41,Food & Dining
TXN585685,anvi restaurant payment #9226,1961.36,Food & Dining
TXN353952,vedika breakfast payment #4783,1579.32,Food & Dining
TXN826598,kashvi dinner payment #1770,719.97,Food & Dining
TXN924002,nehmat lunch payment #4672,1353.27,Food & Dining
TXN422917,tara restaurant payment #3205,980.8,Food & Dining
TXN693803,piya breakfast payment #9685,1352.87,Food & Dining
TXN729899,mamooty biryani payment #5200,1762.24,Food & Dining
TXN770131,ishaan cafe payment #4502,213.7,Food & Dining
TXN638366,alisha restaurant payment #4728,595.49,Food & Dining
TXN754654,devansh restaurant payment #8246,1625.32,Food & Dining
TXN718543,yasmin biryani payment #9195,1768.87,Food & Dining
TXN982356,arhaan biryani payment #7618,371.19,Food & Dining
TXN123416,ritvik biryani payment #8653,405.6,Food & Dining
TXN210396,akarsh lunch payment #2985,1724.64,Food & Dining
TXN636511,samar cafe payment #2527,464.13,Food & Dining
TXN356965,pranay breakfast payment #5725,1558.83,Food & Dining
TXN474628,ehsaan dinner payment #5330,570.18,Food & Dining
TXN201604,devansh cafe payment #7088,820.02,Food & Dining
TXN586241,shlok biryani payment #3720,1595.57,Food & Dining
TXN159631,jayan lunch payment #8776,1229.89,Food & Dining
TXN895794,uthkarsh restaurant payment #4965,566.89,Food & Dining
TXN471300,ishaan breakfast payment #3532,614.54,Food & Dining
TXN410397,sana breakfast payment #8684,1631.52,Food & Dining
TXN320185,dhanuk restaurant payment #6416,1947.76,Food & Dining
TXN780949,ira breakfast payment #2497,362.34,Food & Dining
TXN176587,divij cafe payment #3022,394.19,Food & Dining
TXN219058,shayak lunch payment #2088,589.89,Food & Dining
TXN771170,kimaya biryani payment #1442,1688.34,Food & Dining
TXN612544,mannat dinner payment #1189,152.76,Food & Dining
TXN781170,anya restaurant payment #7586,570.91,Food & Dining
TXN477991,renee biryani payment #1541,487.42,Food & Dining
TXN377640,aniruddh dinner payment #6067,435.42,Food & Dining
TXN922267,adah dinner payment #7944,1328.79,Food & Dining
TXN884610,neysa breakfast payment #5003,1342.57,Food & Dining
TXN802309,ivan lunch payment #5350,1650.97,Food & Dining
TXN225744,mahika dinner payment #7953,700.33,Food & Dining
TXN818714,adira restaurant payment #2780,1681.79,Food & Dining
TXN383256,indranil lunch payment #6096,1369.34,Food & Dining
TXN659875,baiju cafe payment #2397,369.17,Food & Dining
TXN429864,divyansh lunch payment #6397,1716.94,Food & Dining
TXN661318,shalv dinner payment #6189,933.32,Food & Dining
TXN854803,lagan dinner payment #3084,862.8,Food & Dining
TXN659790,kanav cafe payment #1983,1287.25,Food & Dining
TXN132924,yuvraj  restaurant payment #6094,612.45,Food & Dining
TXN304318,rasha dinner payment #3188,1618.24,Food & Dining
TXN965575,ishita lunch payment #4768,1154.8,Food & Dining
TXN802192,saira lunch payment #4379,1071.23,Food & Dining
TXN776163,samiha cafe payment #6460,1872.61,Food & Dining
TXN452387,hrishita dinner payment #1495,1065.17,Food & Dining
TXN431509,prerak restaurant payment #9123,1859.51,Food & Dining
TXN192306,nitara restaurant payment #9330,1758.43,Food & Dining
TXN947558,raunak biryani payment #8390,1403.64,Food & Dining
TXN237898,rohan dinner payment #5828,785.35,Food & Dining
TXN616256,miraan lunch payment #8755,443.58,Food & Dining
TXN916426,divit breakfast payment #5673,1016.6,Food & Dining
TXN932908,badal lunch payment #5334,1174.44,Food & Dining
TXN547886,vihaan biryani payment #6015,566.04,Food & Dining
TXN555879,kaira lunch payment #1799,1632.79,Food & Dining
TXN635858,ira restaurant payment #9717,834.41,Food & Dining
TXN555491,ayesha dinner payment #9951,841.33,Food & Dining
TXN481843,indrans dinner payment #8495,1924.54,Food & Dining
TXN585110,baiju lunch payment #9140,1624.42,Food & Dining
TXN783238,taran biryani payment #6761,532.95,Food & Dining
TXN121703,aarav lunch payment #7223,1341.13,Food & Dining
TXN123214,aaryahi biryani payment #2987,291.28,Food & Dining
TXN477971,dhruv lunch payment #3574,146.28,Food & Dining
TXN866654,ritvik lunch payment #6803,1638.67,Food & Dining
TXN197077,nitara dinner payment #1713,1245.8,Food & Dining
TXN248200,mishti breakfast payment #4646,214.85,Food & Dining
TXN132591,kismat cafe payment #8679,1512.03,Food & Dining
TXN242685,anvi breakfast payment #7506,1170.97,Food & Dining
TXN840988,krish lunch payment #2706,1370.01,Food & Dining
TXN818943,divit breakfast payment #3037,663.63,Food & Dining
TXN238093,anay breakfast payment #4565,1570.32,Food & Dining
TXN885928,lagan lunch payment #4786,211.56,Food & Dining
TXN358500,jayan cafe payment #5868,1959.21,Food & Dining
TXN656965,navya cafe payment #9331,1305.78,Food & Dining
TXN582270,riaan lunch payment #3532,1900.7,Food & Dining
TXN818986,dhanush biryani payment #3544,1189.09,Food & Dining
TXN720264,anika dinner payment #9181,912.02,Food & Dining
TXN452450,farhan lunch payment #5301,1182.83,Food & Dining
TXN845804,ryan lunch payment #6805,1248.54,Food & Dining
TXN868654,vardaniya biryani payment #8477,772.67,Food & Dining
TXN570417,vivaan biryani payment #3839,1764.11,Food & Dining
TXN616960,anaya cafe payment #2789,466.79,Food & Dining
TXN560795,ayesha cafe payment #3354,1760.76,Food & Dining
TXN239169,nitara cafe payment #4745,302.29,Food & Dining
TXN124818,prerak dinner payment #5585,1870.37,Food & Dining
TXN513283,divij dinner payment #4418,505.23,Food & Dining
TXN506284,nayantara cafe payment #8795,1837.03,Food & Dining
TXN845004,inaaya  restaurant payment #5433,977.17,Food & Dining
TXN142399,vidur restaurant payment #5534,1556.25,Food & Dining
TXN452695,kabir lunch payment #7380,1483.96,Food & Dining
TXN271306,tushar cafe payment #2323,796.51,Food & Dining
TXN183314,vaibhav biryani payment #9268,817.77,Food & Dining
TXN106867,tushar restaurant payment #6737,1933.17,Food & Dining
TXN657734,kabir dinner payment #3150,1443.96,Food & Dining
TXN599990,alia cafe payment #1620,1245.89,Food & Dining
TXN716208,azad cafe payment #6546,654.71,Food & Dining
TXN853052,prerak lunch payment #9616,422.45,Food & Dining
TXN614188,advika dinner payment #7881,940.47,Food & Dining
TXN316298,anahita breakfast payment #3991,1609.72,Food & Dining
TXN327565,prerak biryani payment #5341,499.37,Food & Dining
TXN302927,mamooty dinner payment #8484,1657.85,Food & Dining
TXN645290,priyansh cafe payment #8216,1596.32,Food & Dining
TXN183688,jivika dinner payment #4065,1255.03,Food & Dining
TXN244654,biju lunch payment #1195,327.42,Food & Dining
TXN893342,indrajit breakfast payment #8225,102.69,Food & Dining
TXN758539,suhana dinner payment #4173,228.65,Food & Dining
TXN504085,rasha cafe payment #9551,577.62,Food & Dining
TXN928452,nitya biryani payment #7269,1366.32,Food & Dining
TXN171600,divit lunch payment #9138,511.49,Food & Dining
TXN360703,dharmajan lunch payment #8805,1814.95,Food & Dining
TXN290332,oorja restaurant payment #6834,1942.22,Food & Dining
TXN168674,shray restaurant payment #4187,1164.6,Food & Dining
TXN797581,zara biryani payment #1496,961.03,Food & Dining
TXN599446,hrishita biryani payment #1847,1977.47,Food & Dining
TXN589761,zain biryani payment #4816,498.23,Food & Dining
TXN210572,tanya breakfast payment #4731,1714.98,Food & Dining
TXN388523,khushi dinner payment #4158,1263.37,Food & Dining
TXN456395,manikya restaurant payment #9473,1509.95,Food & Dining
TXN817607,ishita restaurant payment #3619,1798.07,Food & Dining
TXN736000,biju cafe payment #7113,962.35,Food & Dining
TXN651011,vidur cafe payment #1439,1675.97,Food & Dining
TXN100271,elakshi dinner payment #1303,882.75,Food & Dining
TXN281216,aaina biryani payment #3469,211.71,Food & Dining
TXN189539,heer restaurant payment #8824,1165.47,Food & Dining
TXN647825,piya dinner payment #2986,1893.16,Food & Dining
TXN464033,anika biryani payment #5575,1706.01,Food & Dining
TXN697934,kaira dinner payment #6297,566.09,Food & Dining
TXN345972,miraan breakfast payment #3152,1567.61,Food & Dining
TXN950071,anika dinner payment #6371,243.23,Food & Dining
TXN856632,rohan biryani payment #9455,1823.17,Food & Dining
TXN582600,dhanush breakfast payment #2883,1897.54,Food & Dining
TXN307304,vivaan lunch payment #1484,946.41,Food & Dining
TXN664583,riya dinner payment #9614,473.56,Food & Dining
TXN734397,arhaan restaurant payment #1049,1609.29,Food & Dining
TXN452552,damini lunch payment #8616,1884.02,Food & Dining
TXN227678,kaira restaurant payment #5582,421.67,Food & Dining
TXN565255,ela dinner payment #1771,1872.23,Food & Dining
TXN617603,yasmin biryani payment #7933,1288.02,Food & Dining
TXN440306,kaira cafe payment #8939,764.14,Food & Dining
TXN105123,parinaaz lunch payment #6539,1397.27,Food & Dining
TXN418411,miraya biryani payment #2588,743.68,Food & Dining
TXN284523,hunar lunch payment #8171,181.88,Food & Dining
TXN810048,fateh dinner payment #5772,842.57,Food & Dining
TXN626075,tanya breakfast payment #3916,343.08,Food & Dining
TXN666416,alia breakfast payment #2710,1915.33,Food & Dining
TXN141272,jayant restaurant payment #3200,647.26,Food & Dining
TXN782938,ivan lunch payment #4702,1607.14,Food & Dining
TXN148218,lakshit biryani payment #6307,613.74,Food & Dining
TXN520862,zara cafe payment #5247,1913.42,Food & Dining
TXN373458,kartik dinner payment #7325,301.49,Food & Dining
TXN734151,gokul cafe payment #5847,467.42,Food & Dining
TXN211798,arnav dinner payment #5694,1730.8,Food & Dining
TXN570949,aarna breakfast payment #7187,1589.81,Food & Dining
TXN682916,dhanush lunch payment #8235,1940.44,Food & Dining
