transaction_id,description,amount,category
TXN356787,urbanclap payment #5506,173.8,Others
TXN191161,hp petrol payment #9935,3695.53,Fuel
TXN329258,spencer’s retail payment #2535,207.32,Groceries
TXN850800,reliance petrol pump payment #4257,3029.99,Fuel
TXN571029,donation payment payment #4611,2747.46,Others
TXN895667,blinkit payment #1106,4056.68,Groceries
TXN263032,pantaloons payment #5552,2141.94,Shopping
TXN498382,ioc fuel station payment #2519,1716.14,Fuel
TXN946335,wow momo payment #5333,4245.1,Food & Dining
TXN182627,icici emi payment payment #7201,2704.33,Financial Services
TXN705397,microsoft 365 payment #6925,4155.55,Bills & Subscriptions
TXN910620,essar petrol payment #4733,394.3,Fuel
TXN498591,ola payment #2654,4283.82,Travel & Transport
TXN270555,makemytrip payment #6977,3196.64,Travel & Transport
TXN835911,hathway broadband payment #5374,1087.06,Utilities
TXN660086,donation payment payment #3803,403.44,Others
TXN771088,hp petrol payment #5422,2338.19,Fuel
TXN340174,adobe creative cloud payment #1916,3438.84,Bills & Subscriptions
TXN321231,sbi atm payment #2084,2035.77,Financial Services
TXN514850,nature's basket payment #9179,1102.5,Groceries
TXN358607,nobroker services payment #3287,757.21,Others
TXN711878,microsoft 365 payment #8019,3747.72,Bills & Subscriptions
TXN634277,healthspring payment #3266,1135.64,Health & Fitness
TXN260265,hotstar payment #2796,3791.12,Entertainment
TXN725380,urban company payment #7916,3970.79,Others
TXN654816,ccd cafe payment #8668,1939.02,Food & Dining
TXN813328,goibibo payment #1188,4310.86,Travel & Transport
TXN216970,paradise biryani payment #6573,3766.85,Food & Dining
TXN857168,redbus payment #1053,832.88,Travel & Transport
TXN211579,goibibo payment #9317,3821.71,Travel & Transport
TXN738551,housejoy payment #9317,4216.26,Others
TXN665579,hp petrol payment #3646,1900.87,Fuel
TXN120422,youtube premium payment #9005,3014.78,Bills & Subscriptions
TXN351083,wow momo payment #6038,4399.67,Food & Dining
TXN189814,bhim upi payment #2290,4396.15,Financial Services
TXN903035,hotstar payment #9727,4891.02,Entertainment
TXN377932,myntra payment #3705,3315.77,Shopping
TXN891952,notion subscription payment #9835,4823.6,Bills & Subscriptions
TXN559381,essar petrol payment #7118,1593.0,Fuel
TXN167136,figma pro payment #4681,648.97,Bills & Subscriptions
TXN717024,airtel recharge payment #4770,2962.13,Utilities
TXN340062,indianoil payment #1964,401.42,Fuel
TXN639131,swiggy payment #2160,4305.2,Food & Dining
TXN665427,bharatpetrol payment #4510,3361.44,Fuel
TXN354801,pantaloons payment #8744,4680.8,Shopping
TXN790993,zee5 subscription payment #2588,992.53,Entertainment
TXN864491,healthspring payment #8651,2146.71,Health & Fitness
TXN163556,sbi card payment payment #2612,3284.6,Financial Services
TXN360735,healthspring payment #2790,4012.93,Health & Fitness
TXN542374,hp petrol payment #3296,2704.61,Fuel
TXN564656,meesho payment #2235,2340.01,Shopping
TXN976638,google one payment #9856,300.41,Bills & Subscriptions
TXN274389,rtgs transfer payment #4872,4635.52,Financial Services
TXN161483,talwalkars gym payment #7570,2432.72,Health & Fitness
TXN378085,croma payment #7396,60.67,Shopping
TXN262316,pvr cinemas payment #8973,2143.89,Entertainment
TXN707314,bharatpetrol payment #1958,1127.62,Fuel
TXN152578,youtube premium payment #1936,3752.48,Bills & Subscriptions
TXN265080,jiomart grocery payment #9701,2539.11,Groceries
TXN171849,bank service charge payment #4044,446.55,Financial Services
TXN523389,dunzo payment #4853,3392.3,Groceries
TXN749468,chai point payment #1651,2915.65,Food & Dining
TXN431737,burger king payment #9565,3304.0,Food & Dining
TXN350280,airindia payment #6147,3365.14,Travel & Transport
TXN579434,redbus payment #5915,697.85,Travel & Transport
